Timestamp,State,Headset_On,Event_Detected,Signal_Quality,Delta,Theta,Alpha,Beta,Gamma,Raw_0,Raw_1,Raw_2,Raw_3,Raw_4,Raw_5,Raw_6,Raw_7,Raw_8,Raw_9,Raw_10,Raw_11,Raw_12,Raw_13,Raw_14,Raw_15,Raw_16,Raw_17,Raw_18,Raw_19,Raw_20,Raw_21,Raw_22,Raw_23,Raw_24,Raw_25,Raw_26,Raw_27,Raw_28,Raw_29,Raw_30,Raw_31,Raw_32,Raw_33,Raw_34,Raw_35,Raw_36,Raw_37,Raw_38,Raw_39,Raw_40,Raw_41,Raw_42,Raw_43,Raw_44,Raw_45,Raw_46,Raw_47,Raw_48,Raw_49
18:09:39.849866,STREAMING,1,0,1,81.69354373714768,10.635458488167146,4.137025936823774,2.135745851237617,1.3982259866237845,-1047109,-1046336,-1045294,-1046019,-1048675,-1049075,-1047698,-1045993,-1046936,-1050016,-1050243,-1048641,-1047406,-1048531,-1051870,-1052516,-1051508,-1049494,-1050016,-1053709,-1054194,-1052622,-1050861,-1051881,-1054871,-1055133,-1053841,-1051716,-1052915,-1056278,-1056662,-1055956,-1054720,-1056107,-1059061,-1058925,-1056925,-1055985,-1057801,-1061322,-1061769,-1060215,-1058533,-1060054,-1064271,-1065178,-1064557,-1063412,-1064518,-1067316
18:09:40.121108,STREAMING,1,0,1,63.81011048237622,17.78177486503362,10.632269519688043,5.25447158746049,2.521373545441625,-1068497,-1067699,-1066527,-1067521,-1070531,-1071844,-1070682,-1069181,-1071013,-1073458,-1074131,-1073629,-1072256,-1073602,-1076579,-1076751,-1075917,-1074237,-1076239,-1079505,-1079115,-1077789,-1077179,-1079347,-1081909,-1081804,-1081011,-1079484,-1080141,-1083076,-1082994,-1082314,-1080886,-1081931,-1084847,-1084707,-1083198,-1081516,-1082049,-1084031,-1084273,-1083090,-1080743,-1081770,-1084834,-1084521,-1082950,-1080876,-1082590,-1085503
18:09:40.236821,STREAMING,1,0,1,77.31775971301676,13.493561459055128,5.771489431307999,2.0764609542268855,1.3407284423932309,-1085344,-1083845,-1081684,-1082628,-1085319,-1084845,-1083892,-1082148,-1082768,-1085127,-1084734,-1082658,-1081109,-1083154,-1084981,-1082581,-1079805,-1079551,-1081239,-1082559,-1081536,-1079057,-1076043,-1077740,-1079229,-1078748,-1077095,-1074270,-1075369,-1077019,-1075107,-1072487,-1069786,-1070583,-1072045,-1070311,-1068183,-1066491,-1067903,-1069816,-1068548,-1066459,-1065022,-1066311,-1067927,-1067147,-1065956,-1064330,-1064892,-1066513
18:09:40.448145,STREAMING,1,0,1,61.49646638052069,19.984921620983567,10.039131817209675,5.322606381772389,3.1568737995136846,-1065783,-1064704,-1063386,-1064510,-1065751,-1065100,-1063183,-1060799,-1062466,-1064323,-1063071,-1061540,-1059569,-1061645,-1064155,-1063286,-1061594,-1060189,-1062698,-1064827,-1063692,-1062021,-1060864,-1062935,-1064458,-1062691,-1061328,-1060791,-1062983,-1064489,-1063071,-1061077,-1059209,-1061141,-1063573,-1063368,-1061589,-1059699,-1061606,-1063470,-1062758,-1060484,-1059759,-1062436,-1064261,-1063535,-1061669,-1060706,-1063205,-1064510
18:09:40.717650,STREAMING,1,0,1,74.08454505368462,13.085194554755919,7.208198561912647,3.5175587930833236,2.1045030365634845,-1062846,-1062043,-1061588,-1063296,-1064582,-1064519,-1063501,-1062253,-1064579,-1066394,-1064949,-1064131,-1063763,-1066474,-1067807,-1066661,-1065709,-1065118,-1067341,-1068766,-1067807,-1066600,-1066027,-1068394,-1070056,-1069312,-1067846,-1066645,-1069002,-1070655,-1069604,-1067404,-1068874,-1072561,-1073623,-1073262,-1072088,-1071074,-1074124,-1076274,-1075321,-1073822,-1073618,-1077297,-1079441,-1078431,-1077018,-1076443,-1079473,-1081735
18:09:40.841652,STREAMING,1,0,1,78.57643475508945,12.450516252176461,5.309189270177859,2.3594098713479466,1.3044498512082796,-1081630,-1080228,-1079756,-1082665,-1084882,-1084641,-1083606,-1083663,-1086901,-1088204,-1088119,-1087933,-1088207,-1091321,-1093601,-1093195,-1091426,-1092363,-1096090,-1097419,-1096580,-1095504,-1095038,-1098623,-1099825,-1099756,-1098568,-1098082,-1101374,-1103302,-1102483,-1100851,-1100666,-1103634,-1105374,-1104868,-1103040,-1103053,-1106606,-1107633,-1106474,-1104336,-1104427,-1108269,-1109728,-1109011,-1107384,-1107063,-1111236,-1112596
18:09:41.052485,STREAMING,1,0,1,73.34510261549457,13.352430732795003,7.602863121091491,3.807983844551329,1.8916196860675965,-1111346,-1109386,-1109990,-1114190,-1115253,-1113521,-1111678,-1112125,-1115623,-1116890,-1116232,-1114162,-1114405,-1117937,-1119816,-1119084,-1118006,-1118863,-1122746,-1124171,-1123251,-1122404,-1122740,-1126096,-1127558,-1126588,-1124399,-1124329,-1128083,-1128852,-1127957,-1126606,-1126354,-1129436,-1130636,-1130153,-1129096,-1129661,-1133086,-1132956,-1132146,-1130836,-1131185,-1133754,-1134338,-1133864,-1132027,-1132046,-1135424,-1136041
18:09:41.319063,STREAMING,1,0,1,79.9175479151242,11.364912675072798,4.982562990469232,2.438354693774339,1.2966217255594337,-1134617,-1132776,-1132716,-1135666,-1136668,-1135191,-1133260,-1133764,-1137227,-1137423,-1135513,-1133622,-1133441,-1136269,-1136189,-1135022,-1133520,-1133228,-1135979,-1136154,-1134267,-1132164,-1132456,-1135333,-1135637,-1134452,-1132799,-1132738,-1135660,-1136047,-1134553,-1131866,-1132105,-1135465,-1135253,-1133579,-1131812,-1132588,-1135539,-1135416,-1133996,-1131810,-1132287,-1135916,-1135919,-1134197,-1132075,-1132671,-1135843,-1136262
18:09:41.437143,STREAMING,1,0,1,80.63715028512102,10.175398379225017,5.428691017046519,2.4201681895176503,1.338592129089794,-1135110,-1133109,-1133864,-1136603,-1136358,-1135036,-1133016,-1133599,-1136428,-1136313,-1134911,-1132751,-1133659,-1136803,-1136597,-1134866,-1132871,-1133867,-1136672,-1136477,-1134653,-1132746,-1133914,-1136986,-1136782,-1135000,-1133052,-1134320,-1137259,-1137179,-1135810,-1133938,-1135331,-1138165,-1138016,-1136541,-1134701,-1135802,-1138876,-1139064,-1137774,-1135833,-1137299,-1140390,-1140209,-1138710,-1137113,-1138488,-1141471,-1141394
18:09:41.647551,STREAMING,1,0,1,76.9723756113418,12.6416572936112,6.092104493824684,2.697827935872078,1.5960346653502278,-1139755,-1137828,-1139414,-1142446,-1142069,-1140874,-1139220,-1140742,-1143877,-1143774,-1142370,-1140652,-1142068,-1145065,-1144940,-1143410,-1141657,-1143173,-1146121,-1145499,-1143582,-1141801,-1143315,-1145839,-1145473,-1143831,-1142004,-1143528,-1146014,-1145536,-1144214,-1142396,-1144176,-1147103,-1146787,-1145171,-1143548,-1145590,-1148438,-1147738,-1145961,-1144020,-1145661,-1148284,-1147966,-1146161,-1143981,-1145335,-1147859,-1147581
